date,ticker,open,high,low,close,volume,insertion_time
2005-01-03,QQQ US Equity,34.3474,34.5377,33.7474,33.858,101052208.0,2025-06-11 14:02:00
2005-01-04,QQQ US Equity,34.0217,34.0645,33.0445,33.2416,136759292.0,2025-06-11 14:02:00
2005-01-05,QQQ US Equity,33.1559,33.3959,32.9759,33.0359,128424276.0,2025-06-11 14:02:00
2005-01-06,QQQ US Equity,33.1045,33.1816,32.8645,32.8705,103981120.0,2025-06-11 14:02:00
2005-01-07,QQQ US Equity,33.0531,33.3214,32.753,33.0445,123159230.0,2025-06-11 14:02:00
2005-01-10,QQQ US Equity,32.9588,33.3188,32.9065,33.0273,88824600.0,2025-06-11 14:02:00
2005-01-11,QQQ US Equity,32.8902,32.9982,32.6322,32.795,107283390.0,2025-06-11 14:02:00
2005-01-12,QQQ US Equity,32.9502,33.0873,32.5816,33.0702,127885823.0,2025-06-11 14:02:00
2005-01-13,QQQ US Equity,33.0873,33.1045,32.5816,32.633,102117505.0,2025-06-11 14:02:00
2005-01-14,QQQ US Equity,32.7445,33.0188,32.7359,32.9416,93530063.0,2025-06-11 14:02:00
2005-01-18,QQQ US Equity,32.813,33.2502,32.7616,33.1902,92042101.0,2025-06-11 14:02:00
2005-01-19,QQQ US Equity,33.2159,33.2159,32.6245,32.6416,105302893.0,2025-06-11 14:02:00
2005-01-20,QQQ US Equity,32.273,32.411,31.9901,32.0159,121107333.0,2025-06-11 14:02:00
2005-01-21,QQQ US Equity,32.1359,32.1873,31.7073,31.7587,115496664.0,2025-06-11 14:02:00
2005-01-24,QQQ US Equity,31.8359,31.8873,31.253,31.313,137586438.0,2025-06-11 14:02:00
2005-01-25,QQQ US Equity,31.5187,31.793,31.4244,31.4673,120045513.0,2025-06-11 14:02:00
2005-01-26,QQQ US Equity,31.6816,31.9644,31.565,31.8444,107711314.0,2025-06-11 14:02:00
2005-01-27,QQQ US Equity,31.7759,31.9473,31.6044,31.8016,109788764.0,2025-06-11 14:02:00
2005-01-28,QQQ US Equity,31.9044,31.9473,31.3901,31.6473,111793283.0,2025-06-11 14:02:00
2005-01-31,QQQ US Equity,32.0244,32.1702,31.9387,32.0587,89381338.0,2025-06-11 14:02:00
2005-02-01,QQQ US Equity,32.1359,32.2715,32.033,32.1616,76815285.0,2025-06-11 14:02:00
2005-02-02,QQQ US Equity,32.2644,32.3416,31.9816,32.213,101911126.0,2025-06-11 14:02:00
2005-02-03,QQQ US Equity,32.0416,32.0699,31.7159,31.8479,90926345.0,2025-06-11 14:02:00
2005-02-04,QQQ US Equity,31.8444,32.4187,31.8444,32.3587,99370375.0,2025-06-11 14:02:00
2005-02-07,QQQ US Equity,32.4016,32.4959,32.1616,32.2936,71633078.0,2025-06-11 14:02:00
2005-02-08,QQQ US Equity,32.2816,32.5816,32.2473,32.3502,73225164.0,2025-06-11 14:02:00
2005-02-09,QQQ US Equity,32.3759,32.4016,31.7716,31.8101,93432520.0,2025-06-11 14:02:00
2005-02-10,QQQ US Equity,31.9387,31.9901,31.613,31.8444,110426553.0,2025-06-11 14:02:00
2005-02-11,QQQ US Equity,31.7416,32.4445,31.6533,32.3159,108768906.0,2025-06-11 14:02:00
2005-02-14,QQQ US Equity,32.3159,32.5216,32.3056,32.4607,55056970.0,2025-06-11 14:02:00
2005-02-15,QQQ US Equity,32.4873,32.9845,32.4187,32.6759,133212243.0,2025-06-11 14:02:00
2005-02-16,QQQ US Equity,32.5988,32.7102,32.4273,32.5559,80616379.0,2025-06-11 14:02:00
2005-02-17,QQQ US Equity,32.6159,32.693,32.0844,32.1187,116323034.0,2025-06-11 14:02:00
2005-02-18,QQQ US Equity,32.1273,32.2044,31.9387,32.0159,69387152.0,2025-06-11 14:02:00
2005-02-22,QQQ US Equity,31.7424,32.1857,31.5358,31.6216,122634973.0,2025-06-11 14:02:00
2005-02-23,QQQ US Equity,31.7501,31.7759,31.4561,31.6644,95421038.0,2025-06-11 14:02:00
2005-02-24,QQQ US Equity,31.5873,32.093,31.5101,32.0673,99841020.0,2025-06-11 14:02:00
2005-02-25,QQQ US Equity,32.0416,32.3159,31.9644,32.2473,80143675.0,2025-06-11 14:02:00
2005-02-28,QQQ US Equity,32.1102,32.2302,31.6498,31.9044,96018828.0,2025-06-11 14:02:00
2005-03-01,QQQ US Equity,32.033,32.3159,31.9987,32.2559,79293542.0,2025-06-11 14:02:00
2005-03-02,QQQ US Equity,32.0759,32.5902,32.021,32.2387,107985175.0,2025-06-11 14:02:00
2005-03-03,QQQ US Equity,32.3245,32.3416,31.733,31.973,90101320.0,2025-06-11 14:02:00
2005-03-04,QQQ US Equity,32.2216,32.3587,32.0587,32.1616,86649866.0,2025-06-11 14:02:00
2005-03-07,QQQ US Equity,32.2276,32.8216,32.1959,32.6245,94886351.0,2025-06-11 14:02:00
2005-03-08,QQQ US Equity,32.5473,32.753,32.273,32.2987,89618428.0,2025-06-11 14:02:00
2005-03-09,QQQ US Equity,32.2902,32.513,32.1187,32.2044,98090870.0,2025-06-11 14:02:00
2005-03-10,QQQ US Equity,32.2387,32.2902,31.7844,32.1616,98047627.0,2025-06-11 14:02:00
2005-03-11,QQQ US Equity,32.303,32.4205,31.7329,31.8616,102865410.0,2025-06-11 14:02:00
2005-03-14,QQQ US Equity,31.9216,32.0244,31.742,32.0073,71600564.0,2025-06-11 14:02:00
2005-03-15,QQQ US Equity,32.093,32.1273,31.7073,31.7501,93917510.0,2025-06-11 14:02:00
2005-03-16,QQQ US Equity,31.6387,31.8701,31.313,31.3858,159757441.0,2025-06-11 14:02:00
2005-03-17,QQQ US Equity,31.3815,31.6216,31.3215,31.4673,101801139.0,2025-06-11 14:02:00
2005-03-18,QQQ US Equity,31.5016,31.5316,31.1587,31.2958,109185283.0,2025-06-11 14:02:00
2005-03-21,QQQ US Equity,31.373,31.5016,31.073,31.3558,92838632.0,2025-06-11 14:02:00
2005-03-22,QQQ US Equity,31.3987,31.5016,30.953,30.9701,114134328.0,2025-06-11 14:02:00
2005-03-23,QQQ US Equity,30.9358,31.2821,30.9187,31.0815,97523974.0,2025-06-11 14:02:00
2005-03-24,QQQ US Equity,31.193,31.4158,31.0901,31.0901,77711689.0,2025-06-11 14:02:00
2005-03-28,QQQ US Equity,31.2101,31.3824,31.1244,31.1501,59773984.0,2025-06-11 14:02:00
2005-03-29,QQQ US Equity,31.0815,31.3558,30.8072,30.9015,119633330.0,2025-06-11 14:02:00
2005-03-30,QQQ US Equity,31.0558,31.5273,31.0472,31.4844,115019584.0,2025-06-11 14:02:00
2005-03-31,QQQ US Equity,31.4844,31.5016,31.2358,31.3473,86651191.0,2025-06-11 14:02:00
2005-04-01,QQQ US Equity,31.5616,31.6164,30.9701,31.0301,143853526.0,2025-06-11 14:02:00
2005-04-04,QQQ US Equity,31.073,31.373,30.8844,31.253,100153714.0,2025-06-11 14:02:00
2005-04-05,QQQ US Equity,31.2873,31.4321,31.2144,31.3387,66463065.0,2025-06-11 14:02:00
2005-04-06,QQQ US Equity,31.4244,31.6344,31.2187,31.2873,82219312.0,2025-06-11 14:02:00
2005-04-07,QQQ US Equity,31.3147,31.6747,31.2958,31.6644,88708926.0,2025-06-11 14:02:00
