date,ticker,open,high,low,close,volume,insertion_time
2005-06-08,ISP IM Equity,1.2326,1.2335,1.2214,1.2254,13010325.0,2025-06-11 14:22:00
2005-06-09,ISP IM Equity,1.2254,1.2254,1.2101,1.2151,19074701.0,2025-06-11 14:22:00
2005-06-10,ISP IM Equity,1.2157,1.2431,1.2141,1.2412,26794017.0,2025-06-11 14:22:00
2005-06-13,ISP IM Equity,1.2383,1.2407,1.2238,1.2296,15344082.0,2025-06-11 14:22:00
2005-06-14,ISP IM Equity,1.2302,1.2359,1.2181,1.2254,15880096.0,2025-06-11 14:22:00
2005-06-15,ISP IM Equity,1.2302,1.2302,1.2093,1.2102,26429943.0,2025-06-11 14:22:00
2005-06-16,ISP IM Equity,1.2165,1.2214,1.2085,1.2141,22649723.0,2025-06-11 14:22:00
2005-06-17,ISP IM Equity,1.2238,1.2238,1.2141,1.2193,27563853.0,2025-06-11 14:22:00
2005-06-20,ISP IM Equity,1.2189,1.2189,1.2012,1.2089,13799884.0,2025-06-11 14:22:00
2005-06-21,ISP IM Equity,1.2149,1.2165,1.2028,1.206,15617980.0,2025-06-11 14:22:00
2005-06-22,ISP IM Equity,1.2093,1.2278,1.2077,1.2202,22766077.0,2025-06-11 14:22:00
2005-06-23,ISP IM Equity,1.2222,1.2399,1.2189,1.2202,28180034.0,2025-06-11 14:22:00
2005-06-24,ISP IM Equity,1.2149,1.2173,1.2052,1.207,12375691.0,2025-06-11 14:22:00
2005-06-27,ISP IM Equity,1.2044,1.206,1.1802,1.1931,14883558.0,2025-06-11 14:22:00
2005-06-28,ISP IM Equity,1.1964,1.2028,1.1931,1.2006,13260441.0,2025-06-11 14:22:00
2005-06-29,ISP IM Equity,1.2028,1.2069,1.1948,1.2057,12496220.0,2025-06-11 14:22:00
2005-06-30,ISP IM Equity,1.2093,1.2302,1.206,1.2206,21166449.0,2025-06-11 14:22:00
2005-07-01,ISP IM Equity,1.2214,1.2351,1.2093,1.2254,19895404.0,2025-06-11 14:22:00
2005-07-04,ISP IM Equity,1.2302,1.2302,1.2181,1.2206,11564036.0,2025-06-11 14:22:00
2005-07-05,ISP IM Equity,1.2165,1.2278,1.2101,1.226,18008211.0,2025-06-11 14:22:00
2005-07-06,ISP IM Equity,1.2318,1.2568,1.2286,1.2496,34313246.0,2025-06-11 14:22:00
2005-07-07,ISP IM Equity,1.2447,1.2536,1.177,1.2235,49480018.0,2025-06-11 14:22:00
2005-07-08,ISP IM Equity,1.2367,1.2512,1.2238,1.2502,19504313.0,2025-06-11 14:22:00
2005-07-11,ISP IM Equity,1.2544,1.2705,1.2544,1.2683,21346848.0,2025-06-11 14:22:00
2005-07-12,ISP IM Equity,1.2738,1.2762,1.2472,1.2567,28613424.0,2025-06-11 14:22:00
2005-07-13,ISP IM Equity,1.2786,1.3189,1.2778,1.3134,92123798.0,2025-06-11 14:22:00
2005-07-14,ISP IM Equity,1.3278,1.3302,1.2963,1.3202,42033926.0,2025-06-11 14:22:00
2005-07-15,ISP IM Equity,1.3189,1.3246,1.2988,1.3028,26337149.0,2025-06-11 14:22:00
2005-07-18,ISP IM Equity,1.306,1.3165,1.2971,1.3063,13229443.0,2025-06-11 14:22:00
2005-07-19,ISP IM Equity,1.3133,1.3278,1.3117,1.3205,26178243.0,2025-06-11 14:22:00
2005-07-20,ISP IM Equity,1.3221,1.3221,1.2963,1.3096,32402447.0,2025-06-11 14:22:00
2005-07-21,ISP IM Equity,1.3068,1.3221,1.298,1.298,31954061.0,2025-06-11 14:22:00
2005-07-22,ISP IM Equity,1.3012,1.3076,1.2955,1.306,12128279.0,2025-06-11 14:22:00
2005-07-25,ISP IM Equity,1.3092,1.3117,1.2996,1.3073,12886115.0,2025-06-11 14:22:00
2005-07-26,ISP IM Equity,1.3076,1.3084,1.2971,1.3015,14778516.0,2025-06-11 14:22:00
2005-07-27,ISP IM Equity,1.3052,1.3084,1.298,1.2983,16240559.0,2025-06-11 14:22:00
2005-07-28,ISP IM Equity,1.3012,1.3012,1.2867,1.2963,15616734.0,2025-06-11 14:22:00
2005-07-29,ISP IM Equity,1.2955,1.3012,1.2891,1.2931,11149099.0,2025-06-11 14:22:00
2005-08-01,ISP IM Equity,1.2939,1.3108,1.2931,1.3054,17065629.0,2025-06-11 14:22:00
2005-08-02,ISP IM Equity,1.3092,1.3149,1.3004,1.3086,14542002.0,2025-06-11 14:22:00
2005-08-03,ISP IM Equity,1.306,1.3221,1.2996,1.3028,14539180.0,2025-06-11 14:22:00
2005-08-04,ISP IM Equity,1.302,1.3052,1.2907,1.2912,12028599.0,2025-06-11 14:22:00
2005-08-05,ISP IM Equity,1.2818,1.2947,1.2673,1.287,17592524.0,2025-06-11 14:22:00
2005-08-08,ISP IM Equity,1.2875,1.3036,1.2875,1.2947,9240675.0,2025-06-11 14:22:00
2005-08-09,ISP IM Equity,1.2947,1.2955,1.281,1.2947,13765048.0,2025-06-11 14:22:00
2005-08-10,ISP IM Equity,1.2899,1.3117,1.2842,1.3086,17636762.0,2025-06-11 14:22:00
2005-08-11,ISP IM Equity,1.3052,1.3068,1.2931,1.2973,9632314.0,2025-06-11 14:22:00
2005-08-12,ISP IM Equity,1.298,1.298,1.2818,1.2825,10282027.0,2025-06-11 14:22:00
2005-08-16,ISP IM Equity,1.2883,1.2931,1.2754,1.2786,13047063.0,2025-06-11 14:22:00
2005-08-17,ISP IM Equity,1.277,1.2778,1.2601,1.267,11704237.0,2025-06-11 14:22:00
2005-08-18,ISP IM Equity,1.2665,1.2713,1.2544,1.2641,10529541.0,2025-06-11 14:22:00
2005-08-19,ISP IM Equity,1.2689,1.2883,1.2609,1.2841,12833847.0,2025-06-11 14:22:00
2005-08-22,ISP IM Equity,1.2786,1.2802,1.2665,1.2673,12419872.0,2025-06-11 14:22:00
2005-08-23,ISP IM Equity,1.2665,1.2754,1.2617,1.2705,13345001.0,2025-06-11 14:22:00
2005-08-24,ISP IM Equity,1.2657,1.2802,1.2576,1.2715,14121535.0,2025-06-11 14:22:00
2005-08-25,ISP IM Equity,1.2609,1.2625,1.2512,1.2573,11997606.0,2025-06-11 14:22:00
2005-08-26,ISP IM Equity,1.2544,1.2601,1.2367,1.2425,12521311.0,2025-06-11 14:22:00
2005-08-29,ISP IM Equity,1.2343,1.2576,1.2294,1.2576,11531843.0,2025-06-11 14:22:00
2005-08-30,ISP IM Equity,1.2633,1.2633,1.2447,1.2464,11148995.0,2025-06-11 14:22:00
2005-08-31,ISP IM Equity,1.2447,1.2609,1.2423,1.2593,18397761.0,2025-06-11 14:22:00
2005-09-01,ISP IM Equity,1.2641,1.2883,1.2641,1.2763,24048395.0,2025-06-11 14:22:00
2005-09-02,ISP IM Equity,1.2867,1.2931,1.2746,1.2799,16310985.0,2025-06-11 14:22:00
2005-09-05,ISP IM Equity,1.2875,1.2947,1.2665,1.2738,22387028.0,2025-06-11 14:22:00
2005-09-06,ISP IM Equity,1.2762,1.2778,1.252,1.2689,27712583.0,2025-06-11 14:22:00
2005-09-07,ISP IM Equity,1.2681,1.2705,1.2512,1.2551,34094153.0,2025-06-11 14:22:00
2005-09-08,ISP IM Equity,1.2584,1.2649,1.2496,1.2586,24914343.0,2025-06-11 14:22:00
2005-09-09,ISP IM Equity,1.2584,1.2601,1.2504,1.2557,13637773.0,2025-06-11 14:22:00
2005-09-12,ISP IM Equity,1.2576,1.2601,1.252,1.256,11696200.0,2025-06-11 14:22:00
2005-09-13,ISP IM Equity,1.2552,1.2609,1.2447,1.248,20421605.0,2025-06-11 14:22:00
2005-09-14,ISP IM Equity,1.2464,1.2705,1.2464,1.2634,21760800.0,2025-06-11 14:22:00
2005-09-15,ISP IM Equity,1.2601,1.2665,1.2544,1.2618,11821737.0,2025-06-11 14:22:00
2005-09-16,ISP IM Equity,1.2665,1.2818,1.2649,1.2744,56316568.0,2025-06-11 14:22:00
2005-09-19,ISP IM Equity,1.2705,1.2738,1.2649,1.2722,17942236.0,2025-06-11 14:22:00
2005-09-20,ISP IM Equity,1.2762,1.2762,1.2641,1.2728,14336184.0,2025-06-11 14:22:00
2005-09-21,ISP IM Equity,1.2657,1.2689,1.2576,1.2602,15213663.0,2025-06-11 14:22:00
2005-09-22,ISP IM Equity,1.2544,1.2625,1.2488,1.2576,14603055.0,2025-06-11 14:22:00
2005-09-23,ISP IM Equity,1.2617,1.2625,1.248,1.2586,9862245.0,2025-06-11 14:22:00
2005-09-26,ISP IM Equity,1.2673,1.2738,1.2625,1.2705,19176567.0,2025-06-11 14:22:00
2005-09-27,ISP IM Equity,1.2633,1.2641,1.2464,1.2509,39679278.0,2025-06-11 14:22:00
2005-09-28,ISP IM Equity,1.2488,1.2593,1.2447,1.2547,58902680.0,2025-06-11 14:22:00
2005-09-29,ISP IM Equity,1.2601,1.2601,1.248,1.2496,24092916.0,2025-06-11 14:22:00
2005-09-30,ISP IM Equity,1.2536,1.2633,1.2455,1.2502,26352131.0,2025-06-11 14:22:00
2005-10-03,ISP IM Equity,1.2528,1.2593,1.2496,1.2576,40798797.0,2025-06-11 14:22:00
2005-10-04,ISP IM Equity,1.256,1.2609,1.252,1.2534,24810669.0,2025-06-11 14:22:00
2005-10-05,ISP IM Equity,1.2504,1.2528,1.2367,1.2473,23257021.0,2025-06-11 14:22:00
2005-10-06,ISP IM Equity,1.2383,1.2464,1.2286,1.2451,15290893.0,2025-06-11 14:22:00
2005-10-07,ISP IM Equity,1.2391,1.2439,1.2302,1.2335,16454294.0,2025-06-11 14:22:00
2005-10-10,ISP IM Equity,1.2351,1.2391,1.223,1.227,14491872.0,2025-06-11 14:22:00
2005-10-11,ISP IM Equity,1.2222,1.2391,1.2222,1.2283,15729358.0,2025-06-11 14:22:00
2005-10-12,ISP IM Equity,1.223,1.223,1.2077,1.2167,20663456.0,2025-06-11 14:22:00
2005-10-13,ISP IM Equity,1.2173,1.2326,1.2141,1.2299,32066845.0,2025-06-11 14:22:00
2005-10-14,ISP IM Equity,1.2415,1.2512,1.2335,1.2496,37700447.0,2025-06-11 14:22:00
2005-10-17,ISP IM Equity,1.2455,1.2544,1.2399,1.2415,19278329.0,2025-06-11 14:22:00
2005-10-18,ISP IM Equity,1.2415,1.2455,1.227,1.2325,21321375.0,2025-06-11 14:22:00
2005-10-19,ISP IM Equity,1.2318,1.2326,1.1972,1.208,30148207.0,2025-06-11 14:22:00
2005-10-20,ISP IM Equity,1.2181,1.2318,1.2101,1.2199,19458602.0,2025-06-11 14:22:00
2005-10-21,ISP IM Equity,1.2125,1.2399,1.2125,1.2231,25843108.0,2025-06-11 14:22:00
2005-10-24,ISP IM Equity,1.2262,1.2351,1.2133,1.2328,22103055.0,2025-06-11 14:22:00
2005-10-25,ISP IM Equity,1.2302,1.2359,1.2214,1.2241,21384922.0,2025-06-11 14:22:00
2005-10-26,ISP IM Equity,1.2351,1.2488,1.2254,1.2476,30857523.0,2025-06-11 14:22:00
2005-10-27,ISP IM Equity,1.2464,1.2504,1.2351,1.2415,29456592.0,2025-06-11 14:22:00
2005-10-28,ISP IM Equity,1.2464,1.248,1.2262,1.237,24121482.0,2025-06-11 14:22:00
2005-10-31,ISP IM Equity,1.2657,1.2657,1.2383,1.2554,19758553.0,2025-06-11 14:22:00
2005-11-01,ISP IM Equity,1.2544,1.2641,1.2488,1.2541,14517905.0,2025-06-11 14:22:00
2005-11-02,ISP IM Equity,1.248,1.256,1.248,1.2544,17669879.0,2025-06-11 14:22:00
2005-11-03,ISP IM Equity,1.2568,1.2705,1.2536,1.2676,27130833.0,2025-06-11 14:22:00
2005-11-04,ISP IM Equity,1.2681,1.2738,1.2536,1.2576,27033499.0,2025-06-11 14:22:00
2005-11-07,ISP IM Equity,1.2584,1.2899,1.2552,1.2851,37449590.0,2025-06-11 14:22:00
2005-11-08,ISP IM Equity,1.2851,1.2996,1.2754,1.278,18501066.0,2025-06-11 14:22:00
2005-11-09,ISP IM Equity,1.2746,1.2794,1.2649,1.2776,28285428.0,2025-06-11 14:22:00
2005-11-10,ISP IM Equity,1.2738,1.2891,1.2705,1.2851,25854910.0,2025-06-11 14:22:00
2005-11-11,ISP IM Equity,1.2996,1.3189,1.2939,1.3002,57307866.0,2025-06-11 14:22:00
2005-11-14,ISP IM Equity,1.306,1.3262,1.2996,1.3196,45723738.0,2025-06-11 14:22:00
2005-11-15,ISP IM Equity,1.3084,1.3084,1.2947,1.2976,42047188.0,2025-06-11 14:22:00
2005-11-16,ISP IM Equity,1.298,1.3076,1.2899,1.2973,19506112.0,2025-06-11 14:22:00
2005-11-17,ISP IM Equity,1.2955,1.3133,1.2955,1.298,23438203.0,2025-06-11 14:22:00
2005-11-18,ISP IM Equity,1.3149,1.3149,1.3004,1.3099,26826944.0,2025-06-11 14:22:00
2005-11-21,ISP IM Equity,1.3044,1.31,1.3012,1.307,15470887.0,2025-06-11 14:22:00
2005-11-22,ISP IM Equity,1.3092,1.3141,1.3044,1.3125,25634852.0,2025-06-11 14:22:00
2005-11-23,ISP IM Equity,1.3141,1.3213,1.3108,1.3196,25546662.0,2025-06-11 14:22:00
2005-11-24,ISP IM Equity,1.3221,1.3504,1.3213,1.3399,43823601.0,2025-06-11 14:22:00
2005-11-25,ISP IM Equity,1.3391,1.352,1.3383,1.3463,21435433.0,2025-06-11 14:22:00
2005-11-28,ISP IM Equity,1.3487,1.3576,1.3399,1.3415,21925173.0,2025-06-11 14:22:00
2005-11-29,ISP IM Equity,1.3358,1.3479,1.3278,1.335,25931903.0,2025-06-11 14:22:00
2005-11-30,ISP IM Equity,1.335,1.3375,1.3197,1.3221,25275540.0,2025-06-11 14:22:00
2005-12-01,ISP IM Equity,1.3189,1.3399,1.3189,1.3399,16715675.0,2025-06-11 14:22:00
2005-12-02,ISP IM Equity,1.3447,1.3463,1.3302,1.3337,17539281.0,2025-06-11 14:22:00
2005-12-05,ISP IM Equity,1.335,1.3487,1.3342,1.3408,24080433.0,2025-06-11 14:22:00
2005-12-06,ISP IM Equity,1.3423,1.3495,1.3334,1.3383,16911316.0,2025-06-11 14:22:00
2005-12-07,ISP IM Equity,1.3407,1.3415,1.327,1.3344,20448228.0,2025-06-11 14:22:00
2005-12-08,ISP IM Equity,1.331,1.3391,1.3278,1.3386,12481519.0,2025-06-11 14:22:00
2005-12-09,ISP IM Equity,1.3399,1.3431,1.331,1.3405,13501906.0,2025-06-11 14:22:00
2005-12-12,ISP IM Equity,1.3463,1.3504,1.3399,1.3441,18285903.0,2025-06-11 14:22:00
2005-12-13,ISP IM Equity,1.3415,1.3463,1.3383,1.3392,11180362.0,2025-06-11 14:22:00
2005-12-14,ISP IM Equity,1.3431,1.3528,1.3358,1.3495,19553307.0,2025-06-11 14:22:00
2005-12-15,ISP IM Equity,1.3528,1.356,1.3487,1.3524,16808076.0,2025-06-11 14:22:00
2005-12-16,ISP IM Equity,1.3512,1.3778,1.3487,1.3747,63978541.0,2025-06-11 14:22:00
2005-12-19,ISP IM Equity,1.3778,1.4165,1.3737,1.414,48824925.0,2025-06-11 14:22:00
2005-12-20,ISP IM Equity,1.4108,1.4511,1.4092,1.4331,63121739.0,2025-06-11 14:22:00
2005-12-21,ISP IM Equity,1.4374,1.4447,1.4148,1.4389,37786275.0,2025-06-11 14:22:00
2005-12-22,ISP IM Equity,1.435,1.4463,1.4221,1.4221,19354258.0,2025-06-11 14:22:00
2005-12-23,ISP IM Equity,1.4269,1.4318,1.4148,1.4253,14751902.0,2025-06-11 14:22:00
2005-12-27,ISP IM Equity,1.4286,1.431,1.4197,1.4282,6394338.0,2025-06-11 14:22:00
2005-12-28,ISP IM Equity,1.4237,1.4487,1.4237,1.4479,14158961.0,2025-06-11 14:22:00
2005-12-29,ISP IM Equity,1.4511,1.4664,1.4495,1.4547,12079217.0,2025-06-11 14:22:00
