date,ticker,open,high,low,close,volume,insertion_time
2005-01-28,ETFMIB IM Equity,16.1348,16.1477,16.0461,16.0492,282010.0,2025-06-11 13:42:00
2005-01-31,ETFMIB IM Equity,16.1275,16.2473,16.1249,16.2359,121315.0,2025-06-11 13:42:00
2005-02-01,ETFMIB IM Equity,16.2343,16.3121,16.2042,16.3136,89715.0,2025-06-11 13:42:00
2005-02-02,ETFMIB IM Equity,16.3292,16.367,16.3115,16.3655,108986.0,2025-06-11 13:42:00
2005-02-03,ETFMIB IM Equity,16.3603,16.3924,16.2965,16.3136,101726.0,2025-06-11 13:42:00
2005-02-04,ETFMIB IM Equity,16.3753,16.5236,16.3691,16.5106,96631.0,2025-06-11 13:42:00
2005-02-07,ETFMIB IM Equity,16.5728,16.6143,16.5401,16.5935,152658.0,2025-06-11 13:42:00
2005-02-08,ETFMIB IM Equity,16.5837,16.6609,16.5521,16.6454,97060.0,2025-06-11 13:42:00
2005-02-09,ETFMIB IM Equity,16.635,16.7185,16.5935,16.635,98796.0,2025-06-11 13:42:00
2005-02-10,ETFMIB IM Equity,16.6386,16.706,16.6195,16.6506,125991.0,2025-06-11 13:42:00
2005-02-11,ETFMIB IM Equity,16.692,16.7205,16.663,16.7076,134930.0,2025-06-11 13:42:00
2005-02-14,ETFMIB IM Equity,16.7283,16.7511,16.692,16.7076,109187.0,2025-06-11 13:42:00
2005-02-15,ETFMIB IM Equity,16.692,16.7755,16.692,16.7698,140320.0,2025-06-11 13:42:00
2005-02-16,ETFMIB IM Equity,16.7439,16.7439,16.6179,16.6298,150300.0,2025-06-11 13:42:00
2005-02-17,ETFMIB IM Equity,16.6754,16.7112,16.6402,16.6506,161934.0,2025-06-11 13:42:00
2005-02-18,ETFMIB IM Equity,16.7387,16.7542,16.5624,16.5728,212465.0,2025-06-11 13:42:00
2005-02-21,ETFMIB IM Equity,16.635,16.6661,16.3748,16.381,169693.0,2025-06-11 13:42:00
2005-02-22,ETFMIB IM Equity,16.3706,16.4183,16.2058,16.2981,156484.0,2025-06-11 13:42:00
2005-02-23,ETFMIB IM Equity,16.2359,16.2644,16.1317,16.2359,146686.0,2025-06-11 13:42:00
2005-02-24,ETFMIB IM Equity,16.2773,16.3655,16.1736,16.2721,83371.0,2025-06-11 13:42:00
2005-02-25,ETFMIB IM Equity,16.3162,16.4277,16.3136,16.3603,195665.0,2025-06-11 13:42:00
2005-02-28,ETFMIB IM Equity,16.4277,16.508,16.4173,16.4743,69657.0,2025-06-11 13:42:00
2005-03-01,ETFMIB IM Equity,16.4572,16.5754,16.4468,16.5469,64773.0,2025-06-11 13:42:00
2005-03-02,ETFMIB IM Equity,16.5531,16.5557,16.4277,16.4899,110260.0,2025-06-11 13:42:00
2005-03-03,ETFMIB IM Equity,16.5267,16.5728,16.4868,16.5106,120764.0,2025-06-11 13:42:00
2005-03-04,ETFMIB IM Equity,16.5199,16.6428,16.4899,16.6298,75282.0,2025-06-11 13:42:00
2005-03-07,ETFMIB IM Equity,16.6557,16.718,16.6516,16.6869,110852.0,2025-06-11 13:42:00
2005-03-08,ETFMIB IM Equity,16.7439,16.7594,16.5702,16.5935,68202.0,2025-06-11 13:42:00
2005-03-09,ETFMIB IM Equity,16.649,16.6946,16.509,16.5417,62001.0,2025-06-11 13:42:00
2005-03-10,ETFMIB IM Equity,16.4847,16.4935,16.3966,16.4069,77724.0,2025-06-11 13:42:00
2005-03-11,ETFMIB IM Equity,16.4842,16.4935,16.3712,16.381,51483.0,2025-06-11 13:42:00
2005-03-14,ETFMIB IM Equity,16.3971,16.4536,16.3504,16.4432,47750.0,2025-06-11 13:42:00
2005-03-15,ETFMIB IM Equity,16.4292,16.5578,16.424,16.5262,49846.0,2025-06-11 13:42:00
2005-03-16,ETFMIB IM Equity,16.4873,16.5158,16.3359,16.3447,44828.0,2025-06-11 13:42:00
2005-03-17,ETFMIB IM Equity,16.3805,16.3914,16.295,16.3758,70262.0,2025-06-11 13:42:00
2005-03-18,ETFMIB IM Equity,16.3893,16.4847,16.3706,16.4639,125631.0,2025-06-11 13:42:00
2005-03-21,ETFMIB IM Equity,16.4914,16.5832,16.4836,16.5262,86696.0,2025-06-11 13:42:00
2005-03-22,ETFMIB IM Equity,16.5272,16.5738,16.4235,16.5573,44073.0,2025-06-11 13:42:00
2005-03-23,ETFMIB IM Equity,16.5884,16.5884,16.4209,16.5313,132225.0,2025-06-11 13:42:00
2005-03-24,ETFMIB IM Equity,16.5401,16.6609,16.5287,16.6506,167620.0,2025-06-11 13:42:00
2005-03-29,ETFMIB IM Equity,16.6309,16.6806,16.5505,16.6609,94334.0,2025-06-11 13:42:00
2005-03-30,ETFMIB IM Equity,16.6272,16.7128,16.6003,16.6972,84649.0,2025-06-11 13:42:00
2005-03-31,ETFMIB IM Equity,16.7128,16.8164,16.7128,16.7646,93386.0,2025-06-11 13:42:00
2005-04-01,ETFMIB IM Equity,16.7688,16.8916,16.7688,16.8476,72041.0,2025-06-11 13:42:00
2005-04-04,ETFMIB IM Equity,16.8216,16.8787,16.7283,16.7802,182809.0,2025-06-11 13:42:00
